t,ax,ay,az,mag,db
1788360076842,0.0000,0.0000,0.0000,0.0000,-37.69
1788360076856,0.0005,0.0002,-0.0010,0.0011,-37.69
1788360076873,0.0007,0.0002,-0.0003,0.0007,-37.69
1788360076893,-0.0002,-0.0002,-0.0002,0.0004,-37.69
1788360076912,-0.0002,0.0002,0.0002,0.0003,-37.69
1788360076929,-0.0002,-0.0002,-0.0002,0.0004,-37.69
1788360076949,-0.0001,0.0006,0.0002,0.0007,-160.00
1788360076968,0.0007,0.0001,-0.0007,0.0010,-160.00
1788360076986,-0.0011,0.0010,0.0007,0.0016,-160.00
1788360077005,0.0003,0.0000,0.0002,0.0004,-160.00
1788360077024,0.0016,-0.0009,0.0002,0.0019,-48.98
1788360077043,0.0006,0.0014,-0.0003,0.0016,-48.98
1788360077061,-0.0008,-0.0005,0.0006,0.0011,-48.98
1788360077080,0.0002,0.0000,0.0001,0.0002,-47.34
1788360077099,0.0006,-0.0005,-0.0008,0.0011,-47.34
1788360077118,-0.0003,0.0005,0.0002,0.0006,-47.34
1788360077137,-0.0012,0.0005,-0.0003,0.0014,-53.55
1788360077155,-0.0012,0.0004,0.0007,0.0014,-53.55
1788360077174,0.0012,-0.0001,0.0006,0.0013,-53.55
1788360077193,-0.0003,0.0004,0.0010,0.0011,-53.08
1788360077212,0.0007,-0.0001,0.0001,0.0007,-53.08
1788360077231,0.0002,0.0004,-0.0004,0.0006,-53.08
1788360077249,0.0002,0.0013,0.0006,0.0014,-53.08
1788360077269,-0.0022,-0.0002,0.0001,0.0022,-42.93
1788360077287,-0.0002,0.0008,-0.0004,0.0009,-42.93
1788360077306,-0.0002,-0.0002,0.0001,0.0003,-42.93
1788360077325,-0.0002,-0.0002,0.0010,0.0010,-42.93
1788360077344,-0.0006,0.0008,0.0005,0.0011,-37.74
1788360077362,0.0003,0.0007,0.0000,0.0008,-37.74
1788360077381,0.0008,0.0002,0.0010,0.0013,-37.74
1788360077400,0.0003,-0.0002,0.0005,0.0006,-38.16
1788360077419,-0.0002,0.0002,-0.0000,0.0003,-38.16
1788360077437,-0.0007,-0.0007,-0.0010,0.0014,-38.16
1788360077456,0.0008,0.0007,-0.0005,0.0011,-39.90
1788360077475,-0.0002,-0.0003,0.0000,0.0003,-39.90
1788360077494,0.0003,0.0002,-0.0005,0.0006,-39.90
1788360077512,0.0012,-0.0003,0.0010,0.0016,-35.29
1788360077532,0.0002,0.0007,0.0009,0.0012,-35.29
1788360077550,-0.0002,0.0002,0.0004,0.0005,-35.29
1788360077570,-0.0007,-0.0017,-0.0005,0.0019,-35.29
1788360077588,0.0003,0.0007,0.0004,0.0009,-26.12
1788360077607,-0.0007,0.0007,-0.0010,0.0014,-26.12
1788360077626,-0.0002,0.0006,-0.0000,0.0007,-26.12
1788360077644,0.0003,0.0001,-0.0000,0.0003,-30.33
1788360077664,0.0003,0.0006,-0.0000,0.0006,-30.33
1788360077683,-0.0016,-0.0008,-0.0005,0.0019,-30.33
1788360077701,-0.0011,-0.0013,-0.0005,0.0018,-30.33
1788360077720,0.0003,-0.0003,0.0000,0.0004,-41.34
1788360077742,0.0008,-0.0003,0.0000,0.0008,-41.34
1788360077758,-0.0006,-0.0003,0.0000,0.0007,-41.34
1788360077776,-0.0002,0.0002,0.0010,0.0010,-49.16
1788360077795,0.0008,-0.0008,0.0009,0.0014,-49.16
1788360077814,-0.0002,0.0002,-0.0000,0.0003,-49.16
1788360077833,0.0003,-0.0003,0.0004,0.0006,-43.91
1788360077851,0.0003,-0.0003,0.0004,0.0006,-43.91
1788360077871,0.0012,0.0007,-0.0010,0.0017,-43.91
1788360077889,-0.0007,0.0002,-0.0005,0.0009,-43.91
1788360077908,-0.0030,-0.0013,-0.0033,0.0047,-24.64
1788360077926,0.0018,0.0025,0.0062,0.0069,-24.64
1788360077946,0.0012,0.0006,-0.0020,0.0024,-24.64
1788360077964,0.0002,0.0001,-0.0019,0.0020,-20.73
1788360077983,-0.0007,-0.0004,0.0000,0.0008,-20.73
1788360078001,-0.0007,-0.0004,0.0005,0.0009,-20.73
1788360078021,0.0012,-0.0008,-0.0005,0.0016,-20.73
1788360078039,0.0007,-0.0008,0.0010,0.0015,-31.94
1788360078058,-0.0012,0.0006,0.0009,0.0016,-31.94
1788360078076,-0.0007,0.0001,-0.0005,0.0009,-31.94
1788360078096,0.0003,-0.0008,0.0023,0.0025,-27.25
1788360078114,0.0008,-0.0004,0.0008,0.0012,-27.25
1788360078134,0.0003,0.0006,0.0013,0.0014,-27.25
1788360078152,0.0007,-0.0018,-0.0035,0.0040,-31.91
1788360078172,-0.0002,0.0006,0.0018,0.0019,-31.91
1788360078190,0.0002,0.0006,-0.0001,0.0007,-31.91
1788360078208,-0.0007,0.0006,-0.0001,0.0009,-31.91
1788360078227,-0.0002,-0.0013,0.0004,0.0014,-39.71
1788360078246,-0.0002,-0.0003,0.0013,0.0013,-39.71
1788360078265,0.0003,0.0002,0.0008,0.0008,-39.71
1788360078284,0.0003,-0.0008,-0.0007,0.0011,-39.71
1788360078303,-0.0002,-0.0003,0.0003,0.0005,-43.73
1788360078321,-0.0007,0.0011,0.0003,0.0014,-43.73
1788360078341,0.0008,0.0016,0.0003,0.0018,-43.73
1788360078359,0.0003,0.0006,0.0003,0.0007,-41.85
1788360078378,0.0003,0.0001,0.0003,0.0004,-41.85
1788360078397,0.0008,-0.0004,-0.0021,0.0023,-41.85
1788360078416,-0.0001,-0.0013,0.0022,0.0026,-51.46
1788360078434,-0.0002,0.0006,0.0012,0.0014,-51.46
