t,ax,ay,az,mag,db
1788359474296,0.0000,0.0000,0.0000,0.0000,-27.76
1788359474304,-0.0002,-0.0005,0.0000,0.0005,-27.76
1788359474324,-0.0002,0.0007,-0.0000,0.0007,-27.76
1788359474341,-0.0005,0.0001,-0.0004,0.0006,-27.76
1788359474361,-0.0004,0.0005,-0.0007,0.0009,-27.76
1788359474379,-0.0003,0.0004,0.0002,0.0006,-27.76
1788359474399,-0.0011,-0.0001,-0.0002,0.0011,-27.76
1788359474418,0.0003,0.0004,-0.0002,0.0005,-160.00
1788359474436,0.0011,-0.0005,-0.0010,0.0016,-160.00
1788359474455,0.0006,-0.0000,-0.0000,0.0006,-160.00
1788359474474,0.0005,0.0009,-0.0005,0.0011,-34.50
1788359474492,0.0009,-0.0006,-0.0004,0.0012,-34.50
1788359474511,-0.0000,-0.0010,0.0000,0.0010,-34.50
1788359474530,-0.0005,-0.0004,0.0000,0.0007,-31.38
1788359474549,-0.0005,0.0001,-0.0009,0.0010,-31.38
1788359474567,0.0018,0.0000,-0.0004,0.0019,-31.38
1788359474587,-0.0001,0.0005,0.0010,0.0012,-49.66
1788359474605,0.0004,0.0000,-0.0004,0.0005,-49.66
1788359474624,-0.0001,0.0000,-0.0004,0.0004,-49.66
1788359474642,0.0008,0.0000,-0.0013,0.0015,-53.33
1788359474663,0.0003,0.0000,0.0002,0.0003,-53.33
1788359474681,0.0008,0.0009,-0.0012,0.0017,-53.33
1788359474700,0.0003,0.0009,-0.0003,0.0010,-53.33
1788359474718,-0.0002,0.0004,-0.0007,0.0008,-53.33
1788359474737,-0.0007,0.0013,-0.0007,0.0016,-45.55
1788359474756,-0.0007,0.0003,0.0003,0.0008,-45.55
1788359474775,-0.0006,0.0003,-0.0002,0.0007,-45.55
1788359474793,0.0003,0.0008,-0.0002,0.0009,-38.30
1788359474812,0.0008,0.0012,-0.0002,0.0015,-38.30
1788359474831,0.0008,-0.0003,0.0003,0.0009,-38.30
1788359474850,0.0008,-0.0007,-0.0011,0.0015,-38.25
1788359474868,0.0007,-0.0002,-0.0002,0.0008,-38.25
1788359474887,0.0007,0.0007,-0.0001,0.0010,-38.25
1788359474906,-0.0003,0.0012,-0.0063,0.0064,-30.18
1788359474926,0.0025,0.0007,-0.0089,0.0093,-30.18
1788359474944,-0.0004,0.0002,0.0089,0.0089,-30.18
1788359474962,-0.0004,-0.0017,0.0081,0.0083,-12.72
