t,ax,ay,az,mag,db
1788360248588,0.0000,0.0000,0.0000,0.0000,-56.63
1788360248598,0.0002,0.0002,0.0002,0.0004,-56.63
1788360248617,0.0005,-0.0008,-0.0005,0.0011,-56.63
1788360248636,0.0011,0.0001,0.0007,0.0013,-56.63
1788360248656,0.0001,0.0001,0.0006,0.0006,-56.63
1788360248674,-0.0004,0.0001,-0.0007,0.0008,-56.63
1788360248693,-0.0012,0.0001,-0.0002,0.0012,-160.00
1788360248712,-0.0002,0.0000,-0.0006,0.0006,-160.00
1788360248731,0.0003,-0.0008,-0.0001,0.0009,-160.00
1788360248749,-0.0002,-0.0003,-0.0001,0.0004,-58.51
1788360248769,0.0007,0.0006,-0.0001,0.0010,-58.51
1788360248787,-0.0007,-0.0003,-0.0005,0.0009,-58.51
1788360248806,-0.0002,0.0001,-0.0005,0.0005,-59.13
1788360248825,-0.0002,-0.0003,-0.0009,0.0010,-59.13
1788360248844,-0.0006,0.0006,0.0005,0.0010,-59.13
1788360248862,-0.0010,-0.0008,0.0000,0.0013,-59.13
1788360248881,-0.0005,-0.0012,0.0000,0.0013,-61.49
1788360248900,-0.0005,0.0007,0.0000,0.0008,-61.49
1788360248919,0.0009,0.0007,-0.0004,0.0012,-61.49
1788360248937,0.0009,-0.0008,-0.0004,0.0012,-61.42
1788360248956,-0.0005,0.0002,-0.0004,0.0007,-61.42
1788360248975,-0.0005,0.0002,0.0010,0.0012,-61.42
1788360248994,-0.0000,-0.0003,0.0005,0.0006,-61.42
1788360249013,-0.0005,0.0011,0.0000,0.0012,-43.19
1788360249032,0.0014,0.0002,-0.0004,0.0015,-43.19
1788360249051,0.0004,0.0002,0.0005,0.0007,-43.19
1788360249070,-0.0010,-0.0008,0.0000,0.0013,-37.95
1788360249088,-0.0000,0.0006,-0.0005,0.0008,-37.95
1788360249107,-0.0000,0.0002,0.0000,0.0002,-37.95
1788360249126,-0.0000,0.0002,0.0000,0.0002,-38.49
1788360249145,-0.0000,0.0011,-0.0009,0.0014,-38.49
1788360249163,0.0009,0.0001,0.0005,0.0011,-38.49
1788360249182,0.0004,0.0001,0.0010,0.0011,-38.49
1788360249201,0.0004,0.0001,-0.0005,0.0006,-40.40
1788360249221,-0.0006,-0.0003,0.0000,0.0007,-40.40
1788360249239,0.0004,-0.0003,-0.0004,0.0007,-40.40
1788360249257,-0.0015,-0.0003,0.0000,0.0015,-41.69
1788360249276,-0.0005,-0.0003,0.0005,0.0008,-41.69
1788360249297,-0.0014,0.0001,-0.0009,0.0017,-41.69
1788360249313,0.0000,0.0006,-0.0004,0.0007,-41.69
1788360249333,0.0010,0.0001,-0.0009,0.0013,-39.93
1788360249351,0.0014,-0.0004,0.0006,0.0016,-39.93
1788360249370,-0.0000,0.0001,0.0005,0.0006,-39.93
1788360249389,0.0004,-0.0008,0.0001,0.0009,-41.14
1788360249408,-0.0010,0.0002,-0.0004,0.0011,-41.14
1788360249426,-0.0000,0.0001,0.0001,0.0002,-41.14
1788360249445,-0.0000,0.0006,0.0015,0.0016,-45.90
1788360249464,0.0005,-0.0003,-0.0005,0.0007,-45.90
1788360249483,-0.0010,0.0001,-0.0004,0.0011,-45.90
1788360249502,0.0000,0.0001,-0.0004,0.0004,-45.90
1788360249520,-0.0004,0.0001,0.0001,0.0005,-53.76
1788360249539,-0.0004,0.0015,0.0001,0.0016,-53.76
1788360249559,0.0005,0.0015,0.0001,0.0016,-53.76
1788360249577,0.0001,0.0010,0.0001,0.0010,-57.00
1788360249599,-0.0009,-0.0000,0.0005,0.0010,-57.00
1788360249614,0.0001,-0.0000,-0.0004,0.0004,-57.00
1788360249634,0.0006,-0.0005,0.0001,0.0007,-57.00
1788360249652,-0.0004,-0.0005,-0.0004,0.0007,-58.55
1788360249671,0.0010,0.0005,0.0005,0.0013,-58.55
1788360249690,0.0005,-0.0014,-0.0004,0.0016,-58.55
1788360249709,0.0000,-0.0004,0.0005,0.0007,-54.24
1788360249727,-0.0004,0.0010,-0.0004,0.0012,-54.24
1788360249747,-0.0014,0.0005,-0.0004,0.0015,-54.24
1788360249765,0.0006,-0.0005,0.0001,0.0007,-54.24
1788360249784,-0.0004,-0.0009,0.0005,0.0011,-58.70
1788360249806,0.0001,0.0005,-0.0004,0.0007,-58.70
1788360249821,-0.0004,0.0010,-0.0004,0.0011,-58.70
1788360249841,-0.0008,0.0009,0.0010,0.0016,-58.64
1788360249860,0.0001,-0.0005,0.0005,0.0007,-58.64
1788360249878,0.0001,-0.0000,-0.0004,0.0005,-58.64
1788360249897,0.0001,-0.0000,0.0010,0.0010,-57.97
1788360249915,-0.0008,0.0009,0.0005,0.0013,-57.97
1788360249935,0.0011,-0.0005,-0.0005,0.0013,-57.97
1788360249953,0.0001,-0.0005,0.0005,0.0007,-57.97
1788360249972,0.0001,-0.0005,0.0009,0.0011,-57.84
1788360249991,0.0006,0.0010,-0.0000,0.0011,-57.84
1788360250010,-0.0004,-0.0000,-0.0005,0.0006,-57.84
1788360250029,-0.0008,0.0005,-0.0000,0.0009,-51.76
1788360250047,-0.0003,-0.0000,-0.0005,0.0006,-51.76
1788360250066,0.0006,-0.0000,-0.0000,0.0006,-51.76
1788360250086,0.0006,-0.0000,-0.0005,0.0008,-53.85
1788360250103,0.0011,0.0004,-0.0005,0.0012,-53.85
1788360250123,0.0001,-0.0005,-0.0004,0.0007,-53.85
1788360250141,0.0015,0.0014,-0.0009,0.0022,-53.85
1788360250160,0.0005,-0.0006,0.0005,0.0009,-56.27
1788360250179,-0.0004,0.0004,-0.0004,0.0007,-56.27
1788360250198,0.0005,-0.0001,0.0001,0.0005,-56.27
1788360250217,-0.0004,0.0009,-0.0004,0.0011,-58.66
1788360250235,-0.0004,-0.0001,-0.0004,0.0006,-58.66
1788360250254,-0.0004,-0.0006,0.0001,0.0007,-58.66
1788360250273,0.0006,-0.0001,0.0001,0.0006,-58.66
1788360250291,0.0005,0.0004,-0.0004,0.0008,-60.68
1788360250310,0.0005,0.0004,0.0010,0.0012,-60.68
1788360250329,0.0000,0.0004,0.0010,0.0011,-60.68
1788360250348,-0.0014,-0.0001,0.0005,0.0015,-58.42
1788360250367,0.0001,-0.0006,0.0000,0.0006,-58.42
1788360250386,0.0006,-0.0001,-0.0009,0.0011,-58.42
1788360250409,0.0005,-0.0001,0.0000,0.0006,-58.37
1788360250423,0.0000,-0.0006,0.0005,0.0008,-58.37
1788360250442,0.0000,0.0004,0.0000,0.0004,-58.37
1788360250461,-0.0004,0.0004,0.0000,0.0006,-58.37
1788360250480,-0.0004,0.0004,0.0000,0.0005,-56.42
1788360250499,0.0006,-0.0006,-0.0004,0.0009,-56.42
1788360250517,-0.0004,-0.0001,-0.0009,0.0010,-56.42
1788360250536,-0.0004,0.0008,0.0001,0.0009,-31.49
1788360250555,0.0001,-0.0001,0.0005,0.0006,-31.49
1788360250574,0.0001,0.0004,0.0005,0.0006,-31.49
1788360250592,0.0001,-0.0011,0.0005,0.0012,-31.49
1788360250612,-0.0008,0.0004,0.0010,0.0013,-32.18
1788360250630,0.0001,0.0009,-0.0000,0.0009,-32.18
1788360250649,0.0011,-0.0006,-0.0000,0.0012,-32.18
1788360250668,0.0001,-0.0001,-0.0005,0.0005,-44.80
1788360250687,0.0006,0.0009,-0.0000,0.0010,-44.80
1788360250705,0.0001,-0.0001,0.0009,0.0009,-44.80
1788360250725,0.0015,-0.0001,0.0004,0.0016,-44.80
1788360250743,0.0005,0.0004,-0.0005,0.0008,-38.02
1788360250763,0.0000,0.0008,-0.0005,0.0010,-38.02
1788360250781,-0.0005,-0.0001,0.0005,0.0007,-38.02
1788360250800,0.0000,0.0013,-0.0005,0.0014,-39.35
1788360250818,0.0010,0.0003,-0.0005,0.0011,-39.35
1788360250838,-0.0000,-0.0002,0.0000,0.0002,-39.35
1788360250855,-0.0005,-0.0006,0.0009,0.0012,-39.36
1788360250875,-0.0005,-0.0011,-0.0005,0.0013,-39.36
1788360250893,0.0010,0.0009,-0.0005,0.0014,-39.36
1788360250913,0.0009,0.0004,0.0009,0.0014,-39.36
1788360250931,-0.0005,0.0008,0.0004,0.0011,-41.36
1788360250950,-0.0010,-0.0006,-0.0000,0.0011,-41.36
1788360250968,-0.0014,0.0003,-0.0005,0.0015,-41.36
1788360250988,-0.0004,0.0003,-0.0000,0.0005,-37.13
1788360251006,0.0010,-0.0002,-0.0010,0.0014,-37.13
1788360251026,-0.0004,-0.0001,0.0005,0.0007,-37.13
1788360251044,0.0005,0.0003,-0.0000,0.0006,-37.13
1788360251063,-0.0004,0.0003,0.0005,0.0007,-32.57
1788360251081,0.0005,-0.0002,0.0004,0.0007,-32.57
1788360251101,-0.0004,-0.0011,0.0014,0.0018,-32.57
1788360251119,0.0010,-0.0006,0.0004,0.0012,-40.72
1788360251138,0.0005,-0.0001,0.0004,0.0006,-40.72
1788360251157,0.0000,0.0004,0.0004,0.0005,-40.72
1788360251176,0.0000,-0.0006,-0.0006,0.0008,-40.05
1788360251194,-0.0004,-0.0010,0.0004,0.0012,-40.05
1788360251213,0.0000,-0.0000,0.0008,0.0008,-40.05
1788360251232,0.0000,-0.0014,-0.0001,0.0015,-40.05
1788360251251,0.0005,0.0005,0.0003,0.0008,-40.08
1788360251270,0.0010,0.0005,-0.0001,0.0011,-40.08
1788360251289,-0.0009,-0.0000,-0.0011,0.0014,-40.08
1788360251307,-0.0014,0.0005,0.0004,0.0015,-43.36
1788360251327,0.0001,-0.0005,0.0032,0.0032,-43.36
1788360251345,-0.0009,-0.0000,0.0026,0.0027,-43.36
1788360251365,0.0015,-0.0005,-0.0022,0.0027,-43.36
1788360251382,-0.0037,-0.0010,0.0021,0.0044,-31.13
1788360251401,0.0016,0.0000,-0.0041,0.0044,-31.13
1788360251420,0.0015,-0.0005,-0.0044,0.0047,-31.13
1788360251439,-0.0004,0.0005,-0.0019,0.0020,-28.16
1788360251457,0.0020,0.0000,0.0005,0.0021,-28.16
1788360251477,0.0000,0.0000,0.0000,0.0001,-28.16
1788360251495,0.0005,0.0000,0.0000,0.0005,-34.53
1788360251514,-0.0004,0.0000,0.0005,0.0006,-34.53
1788360251533,0.0001,0.0005,0.0005,0.0007,-34.53
1788360251551,0.0001,0.0014,-0.0005,0.0015,-34.53
1788360251571,-0.0009,0.0004,0.0000,0.0010,-38.88
1788360251589,-0.0013,-0.0001,0.0009,0.0016,-38.88
1788360251608,-0.0003,-0.0001,-0.0000,0.0003,-38.88
1788360251627,-0.0003,-0.0001,-0.0000,0.0003,-43.70
1788360251645,0.0002,0.0004,-0.0005,0.0007,-43.70
1788360251665,0.0002,0.0004,0.0005,0.0006,-43.70
1788360251683,0.0006,-0.0006,-0.0000,0.0009,-43.70
1788360251702,0.0006,-0.0005,0.0004,0.0009,-51.14
1788360251721,0.0011,-0.0001,0.0004,0.0012,-51.14
1788360251740,0.0006,0.0009,0.0009,0.0014,-51.14
1788360251758,0.0006,-0.0001,-0.0001,0.0006,-50.20
1788360251777,0.0001,-0.0006,-0.0010,0.0012,-50.20
1788360251797,0.0010,0.0004,0.0004,0.0012,-50.20
1788360251815,0.0000,-0.0001,-0.0001,0.0001,-46.85
1788360251835,0.0005,0.0009,-0.0005,0.0011,-46.85
1788360251853,-0.0009,-0.0006,-0.0000,0.0011,-46.85
1788360251871,0.0011,-0.0005,-0.0000,0.0012,-46.85
1788360251891,0.0046,-0.0037,-0.0222,0.0230,-39.82
1788360251909,-0.0037,0.0021,0.0210,0.0214,-39.82
1788360251928,-0.0008,-0.0018,0.0052,0.0056,-39.82
1788360251946,0.0011,0.0010,-0.0016,0.0022,-44.34
