t,ax,ay,az,mag,db
1788360310452,0.0000,0.0000,0.0000,0.0000,-18.02
1788360310469,-0.0007,0.0007,-0.0002,0.0011,-18.02
1788360310487,0.0002,-0.0005,-0.0002,0.0005,-18.02
1788360310506,0.0001,0.0007,0.0002,0.0008,-18.02
1788360310524,-0.0003,-0.0002,-0.0002,0.0004,-18.02
1788360310544,-0.0007,0.0007,-0.0002,0.0009,-18.02
1788360310562,-0.0010,0.0006,-0.0001,0.0011,-160.00
1788360310581,0.0004,0.0005,0.0003,0.0007,-160.00
1788360310600,0.0004,-0.0013,-0.0006,0.0015,-160.00
1788360310618,-0.0005,-0.0016,0.0003,0.0017,-45.34
1788360310637,-0.0000,-0.0001,0.0003,0.0003,-45.34
1788360310656,-0.0005,0.0008,-0.0006,0.0011,-45.34
1788360310675,-0.0008,0.0003,-0.0006,0.0011,-41.08
1788360310693,0.0001,0.0007,0.0004,0.0008,-41.08
1788360310713,0.0001,-0.0003,0.0004,0.0005,-41.08
1788360310731,0.0006,-0.0007,0.0008,0.0012,-40.11
1788360310751,-0.0008,0.0012,-0.0002,0.0014,-40.11
1788360310769,0.0002,-0.0007,-0.0002,0.0008,-40.11
1788360310788,0.0001,-0.0002,-0.0011,0.0011,-40.11
1788360310806,0.0001,0.0007,0.0004,0.0008,-42.27
1788360310826,-0.0008,0.0002,-0.0001,0.0008,-42.27
1788360310844,0.0011,-0.0016,-0.0010,0.0022,-42.27
1788360310863,-0.0013,-0.0011,-0.0001,0.0017,-42.27
1788360310882,0.0007,-0.0001,0.0009,0.0011,-39.23
1788360310901,0.0002,-0.0011,-0.0010,0.0015,-39.23
1788360310919,-0.0003,-0.0010,0.0004,0.0011,-39.23
1788360310938,-0.0008,-0.0000,-0.0005,0.0009,-36.63
1788360310957,0.0002,-0.0010,-0.0005,0.0011,-36.63
1788360310976,0.0007,0.0000,-0.0000,0.0007,-36.63
1788360310994,0.0002,-0.0009,0.0009,0.0013,-36.76
1788360311014,0.0002,-0.0004,0.0004,0.0006,-36.76
1788360311032,-0.0008,0.0015,-0.0001,0.0017,-36.76
1788360311051,0.0002,-0.0009,0.0004,0.0010,-36.76
1788360311070,-0.0012,-0.0009,-0.0001,0.0015,-39.33
1788360311089,0.0007,0.0001,-0.0006,0.0009,-39.33
1788360311108,-0.0008,0.0001,-0.0005,0.0009,-39.33
1788360311126,0.0012,-0.0004,0.0004,0.0013,-42.41
1788360311145,-0.0003,-0.0004,0.0009,0.0010,-42.41
1788360311167,-0.0003,-0.0008,-0.0001,0.0009,-42.41
1788360311182,-0.0012,0.0020,0.0004,0.0024,-42.41
1788360311202,-0.0007,-0.0004,-0.0001,0.0008,-41.59
1788360311220,0.0003,-0.0009,-0.0001,0.0009,-41.59
1788360311239,0.0007,-0.0009,0.0004,0.0012,-41.59
1788360311257,0.0007,-0.0004,0.0004,0.0009,-37.27
1788360311277,-0.0002,-0.0003,-0.0001,0.0004,-37.27
1788360311295,0.0007,0.0002,-0.0001,0.0007,-37.27
1788360311314,-0.0003,-0.0003,-0.0001,0.0004,-46.26
1788360311333,0.0012,0.0002,-0.0006,0.0013,-46.26
1788360311352,-0.0008,0.0006,-0.0001,0.0010,-46.26
1788360311370,-0.0003,-0.0013,0.0009,0.0016,-46.26
1788360311390,-0.0003,-0.0003,-0.0001,0.0004,-49.92
1788360311409,0.0007,0.0011,-0.0006,0.0014,-49.92
1788360311427,0.0016,-0.0003,-0.0001,0.0016,-49.92
1788360311445,0.0001,0.0011,-0.0001,0.0011,-56.25
1788360311464,0.0001,0.0001,-0.0006,0.0006,-56.25
1788360311485,-0.0008,-0.0008,-0.0001,0.0012,-56.25
1788360311502,-0.0008,0.0006,-0.0001,0.0010,-56.25
1788360311521,0.0002,0.0001,-0.0005,0.0006,-56.78
1788360311541,0.0007,0.0001,-0.0000,0.0007,-56.78
1788360311559,0.0011,0.0001,-0.0015,0.0018,-56.78
1788360311578,-0.0003,-0.0008,0.0000,0.0009,-58.34
1788360311597,0.0006,0.0002,0.0000,0.0007,-58.34
1788360311617,-0.0003,0.0002,0.0000,0.0004,-58.34
1788360311633,-0.0003,-0.0008,0.0000,0.0008,-51.89
1788360311654,0.0002,-0.0003,0.0000,0.0003,-51.89
1788360311672,-0.0008,0.0002,-0.0005,0.0009,-51.89
1788360311693,-0.0008,0.0002,-0.0009,0.0012,-29.46
1788360311709,-0.0012,-0.0012,0.0043,0.0046,-29.46
1788360311729,0.0012,-0.0002,-0.0025,0.0027,-29.46
1788360311747,0.0002,-0.0002,-0.0061,0.0061,-29.46
1788360311766,0.0035,0.0007,0.0007,0.0036,-23.70
1788360311785,-0.0028,0.0007,0.0016,0.0033,-23.70
1788360311803,-0.0013,0.0021,0.0039,0.0046,-23.70
1788360311824,-0.0003,0.0006,0.0019,0.0020,-23.70
1788360311841,0.0016,-0.0013,-0.0024,0.0032,-19.33
1788360311860,0.0011,0.0001,-0.0005,0.0012,-19.33
1788360311879,-0.0008,0.0006,-0.0014,0.0017,-19.33
1788360311898,0.0002,0.0001,0.0001,0.0002,-30.69
1788360311918,0.0006,0.0006,0.0001,0.0009,-30.69
1788360311935,0.0001,0.0001,-0.0004,0.0004,-30.69
1788360311954,-0.0003,-0.0004,0.0001,0.0005,-18.99
1788360311972,0.0001,-0.0004,-0.0018,0.0018,-18.99
1788360311991,0.0001,-0.0003,-0.0008,0.0009,-18.99
1788360312010,-0.0013,-0.0003,0.0002,0.0013,-18.99
1788360312029,-0.0013,0.0006,-0.0003,0.0014,-29.43
1788360312047,0.0002,0.0006,-0.0003,0.0007,-29.43
1788360312067,0.0002,0.0001,-0.0008,0.0008,-29.43
1788360312085,-0.0008,-0.0004,-0.0007,0.0011,-19.76
1788360312104,0.0002,0.0001,-0.0002,0.0003,-19.76
1788360312123,0.0002,0.0006,-0.0002,0.0007,-19.76
1788360312142,0.0002,0.0011,0.0002,0.0011,-19.76
1788360312161,0.0002,0.0001,-0.0002,0.0003,-19.44
1788360312180,-0.0003,0.0001,0.0002,0.0004,-19.44
1788360312198,-0.0007,-0.0004,0.0002,0.0009,-19.44
1788360312217,-0.0007,0.0006,0.0007,0.0011,-17.08
1788360312236,0.0007,0.0005,0.0002,0.0009,-17.08
1788360312255,0.0002,-0.0009,0.0002,0.0009,-17.08
1788360312273,0.0002,0.0001,-0.0003,0.0004,-34.18
1788360312293,-0.0003,0.0006,-0.0003,0.0007,-34.18
1788360312311,0.0007,-0.0004,0.0012,0.0014,-34.18
1788360312330,0.0002,0.0001,-0.0012,0.0013,-34.18
1788360312349,0.0007,-0.0004,-0.0003,0.0008,-28.60
1788360312368,0.0002,0.0001,0.0007,0.0007,-28.60
1788360312386,0.0002,0.0001,-0.0007,0.0008,-28.60
1788360312405,0.0002,0.0001,0.0002,0.0003,-32.75
1788360312424,0.0011,0.0006,-0.0003,0.0013,-32.75
1788360312443,0.0001,-0.0004,-0.0002,0.0005,-32.75
1788360312462,-0.0003,-0.0008,0.0007,0.0011,-32.75
1788360312481,0.0001,-0.0003,0.0002,0.0004,-23.46
1788360312499,0.0015,-0.0003,0.0002,0.0016,-23.46
1788360312518,0.0005,-0.0006,-0.0036,0.0037,-23.46
1788360312536,-0.0038,0.0038,0.0017,0.0057,-15.08
1788360312556,0.0033,-0.0035,0.0045,0.0066,-15.08
1788360312574,0.0007,-0.0007,0.0010,0.0014,-15.08
