t,ax,ay,az,mag,db
1788359157755,0.0000,0.0000,0.0000,0.0000,-43.79
1788359157772,-0.0007,0.0002,0.0000,0.0008,-43.79
1788359157791,-0.0002,-0.0002,-0.0007,0.0007,-43.79
1788359157809,0.0002,0.0010,-0.0005,0.0011,-43.79
1788359157828,0.0006,-0.0004,0.0000,0.0007,-43.79
1788359157847,0.0001,0.0001,0.0000,0.0001,-43.79
1788359157866,0.0001,0.0009,0.0000,0.0009,-160.00
1788359157885,-0.0004,0.0004,0.0004,0.0007,-160.00
1788359157903,-0.0003,0.0003,-0.0005,0.0007,-160.00
1788359157923,0.0001,-0.0002,-0.0013,0.0013,-55.72
1788359157941,-0.0008,0.0003,-0.0008,0.0011,-55.72
1788359157960,-0.0003,0.0007,0.0011,0.0013,-55.72
1788359157979,0.0002,-0.0016,0.0006,0.0017,-46.51
1788359157998,0.0002,-0.0006,0.0019,0.0020,-46.51
1788359158016,-0.0007,0.0004,-0.0001,0.0008,-46.51
1788359158035,-0.0002,-0.0001,-0.0010,0.0010,-46.51
1788359158054,0.0002,-0.0006,0.0000,0.0006,-47.15
1788359158073,0.0007,-0.0001,0.0014,0.0015,-47.15
1788359158091,-0.0003,-0.0005,0.0004,0.0007,-47.15
1788359158110,-0.0007,-0.0010,0.0004,0.0013,-48.34
1788359158129,-0.0003,0.0005,-0.0001,0.0005,-48.34
1788359158148,0.0002,0.0005,0.0008,0.0010,-48.34
1788359158167,-0.0003,-0.0000,0.0008,0.0008,-48.34
1788359158186,-0.0007,-0.0005,-0.0002,0.0009,-43.29
1788359158204,0.0002,-0.0005,0.0008,0.0009,-43.29
1788359158223,-0.0007,0.0000,-0.0002,0.0007,-43.29
1788359158243,0.0002,-0.0019,0.0003,0.0019,-37.45
1788359158261,0.0007,0.0001,-0.0002,0.0007,-37.45
1788359158280,-0.0003,-0.0004,-0.0007,0.0008,-37.45
1788359158298,0.0002,-0.0008,0.0003,0.0009,-37.84
1788359158317,0.0007,0.0001,-0.0002,0.0007,-37.84
1788359158336,0.0002,-0.0008,-0.0007,0.0011,-37.84
1788359158355,-0.0003,0.0001,0.0013,0.0013,-37.84
1788359158374,0.0002,-0.0003,-0.0002,0.0004,-38.69
1788359158393,-0.0003,-0.0003,0.0007,0.0009,-38.69
1788359158411,0.0002,-0.0003,-0.0002,0.0004,-38.69
1788359158430,-0.0003,-0.0003,-0.0007,0.0008,-40.74
1788359158449,-0.0003,-0.0007,-0.0007,0.0010,-40.74
1788359158468,-0.0003,-0.0002,0.0003,0.0005,-40.74
1788359158487,0.0011,-0.0016,-0.0002,0.0020,-40.74
1788359158505,-0.0008,0.0003,0.0003,0.0009,-43.47
1788359158524,-0.0003,-0.0002,-0.0002,0.0004,-43.47
1788359158543,-0.0003,0.0003,0.0003,0.0005,-43.47
1788359158562,0.0001,-0.0002,0.0003,0.0004,-44.18
1788359158581,0.0001,0.0003,0.0003,0.0004,-44.18
1788359158600,0.0001,0.0008,-0.0007,0.0010,-44.18
1788359158618,-0.0013,-0.0007,-0.0002,0.0015,-32.13
1788359158637,0.0007,0.0008,-0.0006,0.0012,-32.13
1788359158656,-0.0003,-0.0007,0.0008,0.0011,-32.13
1788359158675,0.0002,-0.0002,-0.0002,0.0003,-32.13
1788359158693,0.0002,0.0003,0.0008,0.0008,-37.97
1788359158712,-0.0003,0.0003,0.0012,0.0013,-37.97
1788359158731,-0.0008,0.0012,-0.0002,0.0015,-37.97
1788359158750,0.0002,0.0003,0.0007,0.0008,-44.71
1788359158769,-0.0008,-0.0002,0.0002,0.0008,-44.71
1788359158787,0.0011,-0.0012,-0.0007,0.0018,-44.71
1788359158807,0.0001,-0.0002,0.0007,0.0007,-44.71
1788359158825,0.0006,0.0003,0.0007,0.0010,-39.07
1788359158844,0.0001,0.0003,0.0002,0.0004,-39.07
1788359158863,0.0015,0.0007,0.0002,0.0017,-39.07
1788359158881,-0.0004,0.0002,0.0006,0.0008,-39.72
1788359158900,-0.0014,-0.0002,0.0002,0.0014,-39.72
1788359158919,0.0001,-0.0002,-0.0008,0.0008,-39.72
1788359158938,0.0010,0.0003,-0.0003,0.0011,-41.76
1788359158957,-0.0009,0.0003,0.0002,0.0010,-41.76
1788359158976,0.0000,0.0002,0.0002,0.0003,-41.76
1788359158994,0.0010,0.0012,0.0006,0.0017,-41.76
1788359159013,-0.0009,0.0002,0.0006,0.0011,-45.59
1788359159032,0.0000,-0.0003,-0.0003,0.0005,-45.59
1788359159051,0.0000,-0.0003,0.0006,0.0007,-45.59
1788359159069,0.0000,-0.0007,0.0001,0.0007,-45.64
1788359159088,-0.0009,0.0002,0.0001,0.0010,-45.64
1788359159108,-0.0004,0.0002,-0.0008,0.0010,-45.64
1788359159126,-0.0004,-0.0012,0.0001,0.0013,-45.64
1788359159146,-0.0013,0.0003,0.0006,0.0015,-45.43
1788359159163,0.0011,0.0007,0.0001,0.0013,-45.43
1788359159182,-0.0013,0.0003,-0.0008,0.0016,-45.43
1788359159201,0.0001,-0.0002,-0.0008,0.0008,-46.92
1788359159220,0.0001,0.0007,-0.0012,0.0014,-46.92
1788359159239,-0.0008,0.0002,0.0002,0.0009,-46.92
1788359159257,-0.0003,0.0002,0.0002,0.0004,-42.10
1788359159277,0.0001,-0.0003,0.0002,0.0004,-42.10
1788359159296,0.0006,0.0002,0.0007,0.0009,-42.10
1788359159314,-0.0004,0.0006,-0.0008,0.0011,-42.10
1788359159333,-0.0004,0.0001,-0.0008,0.0009,-44.31
1788359159351,-0.0008,0.0006,0.0012,0.0016,-44.31
1788359159370,0.0001,0.0011,0.0007,0.0012,-44.31
1788359159390,-0.0013,-0.0004,-0.0003,0.0014,-44.26
1788359159408,0.0006,-0.0004,0.0006,0.0010,-44.26
1788359159427,-0.0008,-0.0004,-0.0003,0.0009,-44.26
1788359159446,0.0006,0.0011,-0.0008,0.0015,-44.26
1788359159465,-0.0013,0.0001,0.0002,0.0013,-48.44
1788359159483,0.0002,0.0001,0.0002,0.0003,-48.44
1788359159502,0.0001,0.0005,0.0011,0.0013,-48.44
1788359159521,-0.0017,0.0005,0.0011,0.0021,-45.23
1788359159541,-0.0012,0.0000,0.0006,0.0013,-45.23
1788359159559,0.0012,-0.0004,0.0001,0.0013,-45.23
1788359159578,-0.0002,-0.0009,0.0005,0.0011,-45.12
1788359159596,0.0012,0.0001,-0.0004,0.0013,-45.12
1788359159615,-0.0003,0.0001,-0.0004,0.0005,-45.12
1788359159634,0.0007,0.0006,0.0001,0.0009,-45.12
1788359159652,-0.0012,-0.0004,0.0001,0.0012,-45.37
1788359159671,-0.0007,-0.0008,0.0010,0.0015,-45.37
1788359159690,0.0017,0.0002,-0.0014,0.0022,-45.37
1788359159709,0.0007,0.0011,0.0010,0.0017,-44.13
1788359159727,-0.0017,-0.0004,0.0010,0.0020,-44.13
