t,ax,ay,az,mag,db
1788358925531,0.0000,0.0000,0.0000,0.0000,-43.36
1788358925546,0.0007,0.0000,-0.0002,0.0008,-43.36
1788358925564,0.0008,0.0003,-0.0002,0.0009,-43.36
1788358925583,-0.0001,-0.0005,-0.0001,0.0005,-43.36
1788358925602,0.0007,0.0012,-0.0005,0.0014,-43.36
1788358925621,0.0006,-0.0002,-0.0000,0.0006,-43.36
1788358925640,0.0001,-0.0002,-0.0013,0.0013,-160.00
1788358925659,0.0009,0.0002,-0.0007,0.0012,-160.00
1788358925678,-0.0009,-0.0002,-0.0006,0.0011,-160.00
1788358925697,0.0005,0.0002,-0.0001,0.0006,-52.96
1788358925715,-0.0018,0.0007,-0.0005,0.0020,-52.96
1788358925734,0.0006,0.0006,-0.0000,0.0009,-52.96
1788358925753,0.0010,-0.0008,-0.0000,0.0013,-48.53
1788358925772,-0.0009,-0.0003,-0.0000,0.0009,-48.53
1788358925790,0.0015,0.0011,-0.0005,0.0019,-48.53
1788358925809,0.0000,0.0006,-0.0005,0.0007,-48.53
1788358925828,-0.0004,-0.0008,0.0005,0.0011,-48.65
1788358925847,-0.0004,0.0001,-0.0009,0.0010,-48.65
1788358925866,0.0001,-0.0008,-0.0004,0.0009,-48.65
1788358925885,0.0001,0.0002,-0.0004,0.0004,-46.56
1788358925903,-0.0009,-0.0003,0.0001,0.0009,-46.56
1788358925922,0.0001,0.0016,0.0006,0.0017,-46.56
1788358925941,0.0001,0.0001,-0.0004,0.0004,-46.56
1788358925960,0.0001,-0.0013,-0.0004,0.0013,-42.88
1788358925978,0.0001,0.0006,-0.0004,0.0007,-42.88
1788358925998,0.0005,-0.0003,-0.0004,0.0007,-42.88
1788358926016,0.0000,0.0011,0.0006,0.0012,-37.31
1788358926036,0.0005,-0.0004,-0.0004,0.0007,-37.31
1788358926053,0.0005,-0.0008,0.0006,0.0011,-37.31
1788358926073,0.0000,-0.0004,-0.0004,0.0005,-37.05
1788358926092,0.0009,0.0001,-0.0004,0.0010,-37.05
1788358926110,-0.0000,-0.0003,0.0001,0.0004,-37.05
1788358926129,0.0004,-0.0003,0.0011,0.0012,-37.05
1788358926148,-0.0000,-0.0003,0.0006,0.0006,-38.41
1788358926166,0.0004,0.0001,0.0001,0.0005,-38.41
1788358926185,0.0009,-0.0008,0.0001,0.0012,-38.41
1788358926204,-0.0005,0.0002,-0.0004,0.0007,-39.93
1788358926223,-0.0005,-0.0003,-0.0004,0.0007,-39.93
1788358926242,-0.0005,0.0007,0.0006,0.0010,-39.93
1788358926261,-0.0000,0.0001,-0.0004,0.0004,-39.93
1788358926280,-0.0000,0.0001,-0.0004,0.0004,-40.50
1788358926298,-0.0005,0.0006,-0.0004,0.0009,-40.50
1788358926318,0.0005,-0.0004,-0.0004,0.0007,-40.50
1788358926336,-0.0005,-0.0008,0.0011,0.0014,-42.26
1788358926355,-0.0004,0.0002,0.0001,0.0005,-42.26
1788358926374,-0.0009,0.0002,0.0001,0.0009,-42.26
1788358926392,-0.0004,-0.0013,0.0001,0.0013,-42.26
1788358926411,0.0001,0.0002,0.0001,0.0002,-40.87
1788358926430,0.0001,0.0002,-0.0004,0.0004,-40.87
1788358926449,0.0006,0.0002,0.0001,0.0006,-40.87
1788358926468,0.0001,0.0002,-0.0004,0.0004,-42.85
1788358926487,0.0001,0.0006,-0.0037,0.0037,-42.85
1788358926505,-0.0014,0.0006,0.0040,0.0043,-42.85
1788358926524,0.0006,0.0016,-0.0013,0.0021,-29.91
1788358926543,-0.0004,-0.0004,0.0006,0.0008,-29.91
1788358926562,0.0011,0.0001,-0.0004,0.0011,-29.91
1788358926580,0.0010,0.0006,0.0006,0.0013,-29.91
1788358926599,-0.0009,0.0010,0.0006,0.0015,-41.06
1788358926618,0.0005,0.0005,0.0006,0.0009,-41.06
1788358926637,0.0005,0.0019,0.0010,0.0022,-41.06
1788358926655,0.0005,0.0004,0.0005,0.0008,-45.90
1788358926675,0.0005,-0.0001,0.0000,0.0005,-45.90
1788358926693,0.0010,-0.0005,0.0005,0.0012,-45.90
1788358926712,0.0009,-0.0000,-0.0000,0.0009,-49.88
1788358926731,-0.0001,-0.0000,-0.0005,0.0005,-49.88
1788358926749,-0.0010,-0.0000,-0.0005,0.0011,-49.88
1788358926768,-0.0000,-0.0000,0.0000,0.0000,-49.88
1788358926787,0.0005,-0.0010,-0.0004,0.0012,-39.23
1788358926805,0.0004,0.0000,0.0000,0.0004,-39.23
1788358926825,0.0004,-0.0005,0.0010,0.0012,-39.23
1788358926843,0.0009,-0.0000,-0.0005,0.0010,-41.59
1788358926863,-0.0006,0.0009,-0.0004,0.0012,-41.59
1788358926882,-0.0001,-0.0015,0.0005,0.0015,-41.59
1788358926900,0.0004,0.0005,0.0000,0.0006,-41.59
1788358926918,-0.0001,0.0000,0.0005,0.0005,-41.45
1788358926938,0.0009,0.0009,0.0000,0.0013,-41.45
1788358926956,0.0004,-0.0000,0.0005,0.0006,-41.45
1788358926975,-0.0001,0.0005,0.0009,0.0010,-38.91
1788358926994,-0.0001,0.0004,0.0014,0.0014,-38.91
1788358927013,0.0004,-0.0005,-0.0001,0.0006,-38.91
1788358927031,0.0004,-0.0000,0.0004,0.0005,-42.29
1788358927051,0.0013,0.0004,-0.0001,0.0014,-42.29
1788358927069,0.0013,0.0004,-0.0001,0.0013,-42.29
1788358927088,0.0012,0.0004,-0.0001,0.0013,-42.29
1788358927107,-0.0002,-0.0001,0.0009,0.0009,-44.82
1788358927126,-0.0002,-0.0010,0.0004,0.0011,-44.82
1788358927146,-0.0002,-0.0000,0.0008,0.0008,-44.82
1788358927164,0.0002,0.0009,-0.0006,0.0011,-45.91
1788358927182,0.0002,-0.0001,0.0008,0.0008,-45.91
1788358927201,-0.0007,-0.0015,0.0003,0.0017,-45.91
1788358927220,0.0003,-0.0005,-0.0002,0.0006,-45.91
1788358927239,-0.0007,-0.0000,0.0003,0.0008,-45.67
1788358927259,-0.0007,-0.0005,0.0003,0.0009,-45.67
1788358927276,0.0008,0.0005,0.0003,0.0010,-45.67
1788358927295,-0.0006,0.0005,0.0003,0.0008,-45.47
1788358927314,-0.0006,0.0004,0.0003,0.0008,-45.47
1788358927333,-0.0011,-0.0005,-0.0007,0.0014,-45.47
