t,ax,ay,az,mag,db
1788360559797,0.0000,0.0000,0.0000,0.0000,-54.29
1788360559813,0.0005,-0.0007,-0.0002,0.0009,-54.29
1788360559833,0.0003,-0.0005,0.0005,0.0008,-54.29
1788360559851,-0.0009,-0.0000,0.0004,0.0009,-54.29
1788360559869,0.0001,0.0000,-0.0009,0.0009,-54.29
1788360559889,0.0005,0.0004,-0.0003,0.0007,-54.29
1788360559907,0.0004,-0.0009,0.0006,0.0011,-160.00
1788360559928,-0.0001,-0.0008,0.0001,0.0008,-160.00
1788360559945,-0.0005,-0.0007,0.0005,0.0010,-160.00
1788360559964,-0.0000,0.0007,-0.0004,0.0008,-51.00
1788360559982,-0.0018,0.0011,0.0005,0.0021,-51.00
1788360560001,-0.0012,-0.0003,0.0009,0.0015,-51.00
1788360560020,-0.0006,0.0001,-0.0001,0.0007,-51.00
1788360560039,-0.0006,-0.0008,-0.0001,0.0010,-42.58
1788360560058,0.0008,-0.0012,-0.0001,0.0014,-42.58
1788360560077,-0.0002,-0.0002,0.0004,0.0005,-42.58
1788360560095,0.0008,0.0007,0.0004,0.0011,-44.53
1788360560114,0.0017,0.0002,-0.0001,0.0017,-44.53
1788360560133,-0.0012,-0.0007,-0.0001,0.0014,-44.53
1788360560152,-0.0002,0.0003,-0.0001,0.0003,-46.27
1788360560170,0.0003,-0.0002,0.0013,0.0013,-46.27
1788360560190,-0.0007,0.0007,-0.0002,0.0010,-46.27
1788360560209,-0.0002,-0.0007,0.0003,0.0008,-46.27
1788360560227,-0.0006,-0.0011,-0.0006,0.0015,-40.69
1788360560246,-0.0006,-0.0002,-0.0011,0.0012,-40.69
1788360560266,0.0008,0.0003,0.0004,0.0010,-40.69
1788360560284,-0.0001,-0.0006,0.0004,0.0007,-37.10
1788360560303,0.0003,-0.0001,0.0003,0.0005,-37.10
1788360560321,0.0003,-0.0001,-0.0001,0.0004,-37.10
1788360560340,0.0003,-0.0001,0.0003,0.0005,-37.10
1788360560359,-0.0002,0.0003,-0.0001,0.0004,-37.90
1788360560379,-0.0002,0.0003,-0.0006,0.0007,-37.90
1788360560396,-0.0006,-0.0002,-0.0011,0.0012,-37.90
1788360560416,-0.0006,0.0003,0.0009,0.0011,-38.81
1788360560434,0.0004,-0.0002,-0.0006,0.0007,-38.81
1788360560453,-0.0001,0.0003,-0.0001,0.0003,-38.81
1788360560472,0.0008,-0.0002,-0.0006,0.0010,-40.87
1788360560491,-0.0006,-0.0006,-0.0005,0.0010,-40.87
1788360560509,0.0004,-0.0006,0.0004,0.0008,-40.87
1788360560529,-0.0006,-0.0001,0.0004,0.0007,-40.87
1788360560547,0.0004,-0.0011,-0.0005,0.0012,-44.74
1788360560566,0.0013,0.0009,-0.0005,0.0017,-44.74
1788360560585,-0.0011,-0.0001,0.0009,0.0014,-44.74
1788360560603,-0.0006,0.0009,-0.0001,0.0010,-48.29
