t,ax,ay,az,mag,db
1788360508642,0.0000,0.0000,0.0000,0.0000,-47.35
1788360508662,0.0005,-0.0005,-0.0000,0.0007,-47.35
1788360508681,0.0003,0.0006,-0.0000,0.0007,-47.35
1788360508699,-0.0005,0.0012,0.0000,0.0013,-47.35
1788360508717,-0.0008,-0.0002,-0.0004,0.0009,-47.35
1788360508738,0.0002,-0.0010,-0.0003,0.0011,-47.35
1788360508755,-0.0007,0.0017,0.0001,0.0018,-160.00
1788360508775,-0.0006,-0.0003,0.0010,0.0012,-160.00
1788360508793,-0.0010,-0.0011,0.0009,0.0017,-160.00
1788360508812,-0.0004,-0.0001,-0.0001,0.0005,-39.37
1788360508830,-0.0009,-0.0001,-0.0005,0.0010,-39.37
1788360508850,-0.0012,-0.0001,0.0004,0.0013,-39.37
1788360508868,0.0002,-0.0005,0.0008,0.0010,-35.94
1788360508887,0.0007,-0.0001,0.0003,0.0007,-35.94
1788360508906,0.0024,-0.0005,-0.0002,0.0025,-35.94
1788360508925,0.0005,0.0004,0.0003,0.0007,-38.20
1788360508943,-0.0000,0.0004,-0.0002,0.0004,-38.20
1788360508963,0.0004,0.0004,-0.0002,0.0006,-38.20
1788360508981,-0.0005,-0.0006,0.0003,0.0008,-37.53
1788360509000,0.0009,0.0004,0.0003,0.0010,-37.53
1788360509019,0.0004,0.0004,-0.0002,0.0006,-37.53
1788360509038,-0.0006,-0.0001,-0.0011,0.0012,-37.53
1788360509056,0.0008,-0.0011,0.0003,0.0014,-37.53
1788360509076,-0.0011,0.0004,-0.0001,0.0011,-36.58
1788360509094,-0.0010,-0.0006,-0.0001,0.0012,-36.58
1788360509114,-0.0000,-0.0001,-0.0001,0.0002,-36.58
1788360509133,-0.0005,-0.0005,0.0003,0.0008,-36.68
1788360509151,0.0004,-0.0000,0.0008,0.0009,-36.68
1788360509170,-0.0015,-0.0000,0.0003,0.0015,-36.68
1788360509188,0.0000,0.0009,0.0003,0.0010,-35.70
1788360509207,-0.0024,0.0004,-0.0002,0.0024,-35.70
1788360509226,-0.0009,0.0009,0.0003,0.0013,-35.70
1788360509245,0.0001,-0.0001,0.0003,0.0003,-36.69
1788360509264,0.0015,-0.0006,-0.0002,0.0016,-36.69
1788360509282,0.0005,-0.0005,0.0007,0.0011,-36.69
1788360509301,0.0005,-0.0001,-0.0002,0.0005,-41.65
1788360509320,0.0005,0.0014,0.0003,0.0015,-41.65
1788360509339,-0.0000,0.0008,-0.0002,0.0009,-41.65
1788360509358,-0.0000,-0.0015,-0.0012,0.0019,-41.65
