t,ax,ay,az,mag,db
1788360519740,0.0000,0.0000,0.0000,0.0000,-43.51
1788360519757,0.0002,0.0010,0.0002,0.0010,-43.51
1788360519775,-0.0002,0.0000,-0.0002,0.0002,-43.51
1788360519794,-0.0012,-0.0004,-0.0001,0.0013,-43.51
1788360519813,0.0006,-0.0003,-0.0009,0.0011,-43.51
1788360519832,-0.0003,0.0002,0.0009,0.0010,-43.51
1788360519851,-0.0007,0.0001,-0.0005,0.0009,-160.00
1788360519870,-0.0006,-0.0003,-0.0009,0.0011,-160.00
1788360519888,0.0003,0.0006,-0.0003,0.0008,-160.00
1788360519908,-0.0006,0.0001,-0.0003,0.0007,-57.14
1788360519926,0.0004,-0.0003,-0.0003,0.0006,-57.14
1788360519945,-0.0006,0.0010,-0.0007,0.0014,-57.14
1788360519964,-0.0001,0.0009,0.0007,0.0012,-57.67
1788360519983,-0.0001,0.0004,-0.0002,0.0005,-57.67
1788360520001,-0.0005,-0.0001,-0.0007,0.0009,-57.67
1788360520022,-0.0000,-0.0001,-0.0002,0.0002,-57.67
1788360520038,-0.0014,-0.0001,-0.0002,0.0014,-59.20
1788360520058,-0.0013,-0.0001,-0.0002,0.0013,-59.20
1788360520077,-0.0003,-0.0001,-0.0011,0.0011,-59.20
1788360520095,0.0001,0.0008,-0.0006,0.0010,-56.64
1788360520115,0.0001,0.0008,0.0004,0.0009,-56.64
1788360520133,-0.0003,0.0008,-0.0001,0.0008,-56.64
1788360520151,0.0002,-0.0002,0.0008,0.0009,-56.64
1788360520171,-0.0013,-0.0002,0.0008,0.0015,-46.14
1788360520189,-0.0003,0.0008,0.0003,0.0009,-46.14
1788360520209,0.0007,-0.0007,0.0003,0.0010,-46.14
1788360520227,-0.0012,-0.0006,-0.0002,0.0014,-38.49
1788360520246,-0.0007,0.0008,0.0003,0.0011,-38.49
1788360520264,0.0007,-0.0002,-0.0007,0.0010,-38.49
1788360520283,-0.0007,-0.0002,-0.0006,0.0010,-38.55
1788360520302,0.0003,0.0008,0.0003,0.0009,-38.55
1788360520321,-0.0012,0.0012,0.0013,0.0021,-38.55
1788360520340,0.0003,-0.0002,0.0003,0.0004,-38.55
1788360520359,0.0008,-0.0002,0.0012,0.0014,-36.86
1788360520377,-0.0002,0.0003,-0.0012,0.0012,-36.86
1788360520397,-0.0012,-0.0012,0.0007,0.0018,-36.86
1788360520415,-0.0002,0.0008,-0.0002,0.0008,-36.10
1788360520434,0.0003,0.0003,-0.0002,0.0005,-36.10
1788360520453,-0.0002,-0.0002,0.0007,0.0008,-36.10
1788360520471,-0.0006,-0.0002,0.0002,0.0007,-36.10
1788360520490,-0.0001,0.0003,0.0007,0.0008,-39.30
1788360520509,-0.0006,-0.0002,0.0002,0.0007,-39.30
1788360520528,0.0004,-0.0002,-0.0003,0.0005,-39.30
1788360520547,0.0004,-0.0002,0.0002,0.0005,-44.83
1788360520565,0.0003,0.0012,-0.0012,0.0017,-44.83
1788360520585,0.0003,-0.0003,-0.0002,0.0005,-44.83
1788360520603,0.0003,0.0002,-0.0002,0.0004,-48.29
1788360520622,0.0003,-0.0003,-0.0002,0.0005,-48.29
1788360520641,0.0003,-0.0007,-0.0002,0.0008,-48.29
1788360520661,0.0003,0.0002,0.0003,0.0005,-48.29
1788360520678,-0.0002,0.0007,-0.0002,0.0008,-47.87
1788360520697,-0.0002,-0.0012,0.0007,0.0014,-47.87
1788360520716,0.0008,-0.0002,0.0002,0.0008,-47.87
1788360520736,0.0007,0.0002,0.0002,0.0008,-48.70
1788360520753,0.0012,-0.0002,0.0016,0.0020,-48.70
1788360520773,-0.0003,0.0002,0.0002,0.0004,-48.70
1788360520791,-0.0003,-0.0007,0.0006,0.0010,-48.70
1788360520811,0.0007,-0.0007,-0.0003,0.0010,-49.43
1788360520829,-0.0003,0.0007,-0.0008,0.0011,-49.43
1788360520848,0.0007,0.0012,-0.0003,0.0014,-49.43
1788360520866,0.0002,0.0002,0.0002,0.0003,-40.41
1788360520885,0.0007,0.0007,-0.0003,0.0010,-40.41
1788360520904,0.0006,0.0002,0.0011,0.0013,-40.41
1788360520923,0.0002,0.0006,0.0006,0.0009,-40.41
1788360520942,-0.0013,-0.0008,0.0001,0.0015,-37.90
1788360520962,0.0011,0.0002,0.0001,0.0012,-37.90
1788360520979,0.0006,0.0001,0.0011,0.0012,-37.90
1788360520998,0.0001,-0.0003,0.0001,0.0004,-40.28
1788360521017,0.0006,-0.0003,0.0001,0.0007,-40.28
1788360521036,-0.0008,-0.0003,0.0001,0.0009,-40.28
1788360521055,-0.0008,0.0006,-0.0004,0.0011,-38.21
1788360521073,-0.0003,0.0001,-0.0008,0.0009,-38.21
1788360521092,-0.0008,0.0001,0.0006,0.0010,-38.21
1788360521111,0.0007,-0.0013,-0.0004,0.0015,-38.21
1788360521130,-0.0008,0.0001,0.0001,0.0008,-35.23
1788360521149,0.0007,-0.0013,-0.0004,0.0015,-35.23
1788360521167,-0.0003,-0.0003,0.0006,0.0007,-35.23
1788360521187,0.0002,0.0002,0.0006,0.0006,-30.77
1788360521205,0.0007,-0.0003,0.0010,0.0013,-30.77
1788360521224,0.0002,0.0002,0.0010,0.0010,-30.77
1788360521242,0.0002,0.0002,0.0005,0.0006,-34.10
1788360521262,-0.0003,0.0002,0.0005,0.0006,-34.10
1788360521280,-0.0003,-0.0003,-0.0000,0.0004,-34.10
1788360521300,0.0002,0.0002,0.0005,0.0005,-34.10
1788360521317,0.0006,-0.0007,-0.0000,0.0010,-39.86
1788360521338,0.0002,-0.0002,-0.0005,0.0006,-39.86
1788360521356,0.0001,0.0002,0.0005,0.0005,-39.86
1788360521374,0.0001,0.0002,-0.0000,0.0003,-41.23
1788360521393,-0.0003,-0.0012,0.0009,0.0015,-41.23
1788360521412,0.0001,0.0003,-0.0001,0.0003,-41.23
1788360521430,-0.0008,-0.0002,-0.0001,0.0008,-41.23
1788360521450,0.0011,-0.0007,-0.0001,0.0013,-32.18
1788360521469,-0.0008,-0.0007,-0.0001,0.0010,-32.18
1788360521488,-0.0012,-0.0002,-0.0005,0.0014,-32.18
1788360521506,-0.0007,-0.0007,-0.0005,0.0011,-35.29
1788360521525,0.0007,-0.0002,0.0005,0.0009,-35.29
1788360521543,0.0002,-0.0011,-0.0000,0.0011,-35.29
1788360521564,0.0007,0.0008,-0.0000,0.0011,-35.29
1788360521581,-0.0003,0.0003,-0.0005,0.0007,-36.86
1788360521600,0.0002,0.0003,-0.0005,0.0006,-36.86
1788360521619,-0.0003,-0.0002,0.0005,0.0006,-36.86
1788360521638,0.0007,-0.0006,-0.0000,0.0009,-41.94
1788360521656,0.0002,-0.0001,-0.0005,0.0005,-41.94
1788360521675,-0.0003,0.0004,0.0000,0.0005,-41.94
1788360521694,0.0007,0.0008,-0.0005,0.0012,-48.24
1788360521714,0.0006,-0.0001,0.0005,0.0008,-48.24
1788360521731,-0.0008,0.0003,0.0005,0.0010,-48.24
1788360521751,0.0006,0.0008,-0.0000,0.0010,-48.24
1788360521769,0.0001,-0.0007,-0.0000,0.0007,-53.34
1788360521788,-0.0013,-0.0002,-0.0005,0.0014,-53.34
1788360521807,-0.0008,0.0003,0.0005,0.0009,-53.34
1788360521826,-0.0003,-0.0007,-0.0000,0.0007,-54.54
1788360521845,-0.0007,0.0008,-0.0010,0.0014,-54.54
1788360521863,0.0007,0.0003,0.0000,0.0008,-54.54
1788360521882,0.0012,-0.0007,-0.0005,0.0014,-56.56
1788360521901,-0.0003,-0.0006,0.0000,0.0007,-56.56
1788360521920,-0.0003,0.0013,0.0005,0.0014,-56.56
1788360521939,-0.0002,-0.0002,-0.0005,0.0006,-56.56
1788360521958,-0.0012,-0.0007,-0.0004,0.0014,-55.62
1788360521976,-0.0007,0.0003,0.0000,0.0007,-55.62
1788360521995,0.0003,0.0008,-0.0004,0.0009,-55.62
1788360522014,0.0003,0.0007,0.0005,0.0010,-31.07
1788360522033,-0.0007,-0.0007,0.0005,0.0011,-31.07
1788360522052,-0.0002,0.0007,-0.0004,0.0009,-31.07
1788360522070,-0.0011,0.0007,0.0010,0.0016,-31.07
1788360522090,0.0008,-0.0003,0.0000,0.0009,-26.74
1788360522107,-0.0001,0.0007,0.0000,0.0007,-26.74
