t,ax,ay,az,mag,db
1788358827936,0.0000,0.0000,0.0000,0.0000,-44.27
1788358827952,0.0002,0.0000,-0.0000,0.0002,-44.27
1788358827972,-0.0002,0.0007,-0.0003,0.0007,-44.27
1788358827990,0.0003,-0.0002,-0.0002,0.0004,-44.27
1788358828008,0.0006,-0.0010,-0.0002,0.0012,-44.27
1788358828028,-0.0003,-0.0004,0.0002,0.0006,-44.27
1788358828046,0.0014,0.0001,0.0006,0.0016,-160.00
1788358828065,0.0004,0.0001,0.0001,0.0004,-160.00
1788358828084,0.0003,0.0005,-0.0003,0.0007,-160.00
1788358828103,-0.0001,0.0005,-0.0003,0.0006,-52.55
1788358828121,0.0008,-0.0005,0.0006,0.0011,-52.55
1788358828141,-0.0006,-0.0004,-0.0003,0.0008,-52.55
1788358828159,-0.0001,-0.0009,0.0001,0.0009,-48.91
1788358828179,0.0003,0.0001,0.0006,0.0007,-48.91
1788358828197,-0.0006,0.0006,-0.0004,0.0009,-48.91
1788358828216,0.0008,-0.0004,-0.0008,0.0012,-48.91
1788358828234,-0.0006,-0.0013,0.0011,0.0018,-48.52
1788358828254,-0.0001,-0.0003,-0.0008,0.0009,-48.52
1788358828272,-0.0005,-0.0007,0.0002,0.0009,-48.52
1788358828291,-0.0000,0.0007,-0.0008,0.0010,-47.19
1788358828310,0.0009,0.0002,-0.0003,0.0010,-47.19
1788358828329,0.0009,-0.0012,-0.0003,0.0015,-47.19
1788358828347,-0.0001,-0.0002,-0.0003,0.0004,-47.19
1788358828366,-0.0015,0.0012,0.0007,0.0021,-42.69
1788358828386,0.0009,0.0002,0.0002,0.0009,-42.69
1788358828404,-0.0001,0.0002,-0.0003,0.0004,-42.69
1788358828422,-0.0001,-0.0003,0.0002,0.0004,-37.73
1788358828442,0.0013,-0.0003,0.0016,0.0021,-37.73
1788358828461,-0.0001,0.0011,-0.0003,0.0012,-37.73
1788358828479,0.0003,0.0006,0.0001,0.0007,-37.54
1788358828497,-0.0001,-0.0003,0.0001,0.0004,-37.54
1788358828517,0.0013,0.0006,0.0001,0.0014,-37.54
1788358828536,-0.0002,0.0001,-0.0008,0.0008,-37.54
1788358828554,0.0003,-0.0004,-0.0003,0.0006,-38.99
1788358828573,0.0003,0.0006,0.0006,0.0009,-38.99
