t,ax,ay,az,mag,db
1788360332766,0.0000,0.0000,0.0000,0.0000,-20.28
1788360332772,0.0000,0.0002,0.0002,0.0003,-20.28
1788360332790,-0.0010,-0.0002,0.0005,0.0011,-20.28
1788360332812,-0.0011,-0.0001,-0.0007,0.0013,-20.28
1788360332827,-0.0005,-0.0001,-0.0002,0.0005,-20.28
1788360332846,-0.0004,-0.0005,-0.0006,0.0009,-20.28
1788360332865,-0.0008,-0.0004,-0.0001,0.0009,-20.28
1788360332884,0.0002,-0.0003,0.0008,0.0009,-160.00
1788360332903,-0.0007,-0.0003,0.0011,0.0014,-160.00
1788360332921,0.0002,-0.0007,0.0001,0.0008,-160.00
1788360332941,0.0002,-0.0007,0.0001,0.0007,-56.76
1788360332959,-0.0002,0.0007,-0.0008,0.0011,-56.76
1788360332978,-0.0007,0.0007,-0.0003,0.0010,-56.76
1788360332998,0.0003,0.0002,-0.0007,0.0008,-52.21
1788360333016,-0.0011,-0.0003,-0.0002,0.0011,-52.21
1788360333035,-0.0001,0.0002,-0.0002,0.0003,-52.21
1788360333054,-0.0010,0.0006,0.0003,0.0012,-53.17
1788360333072,-0.0005,-0.0003,0.0003,0.0006,-53.17
1788360333091,0.0009,0.0006,0.0007,0.0013,-53.17
1788360333109,0.0013,0.0001,-0.0002,0.0014,-53.17
1788360333129,0.0003,0.0006,-0.0002,0.0007,-53.46
1788360333147,0.0003,0.0006,0.0002,0.0007,-53.46
1788360333166,-0.0001,0.0010,-0.0002,0.0010,-53.46
1788360333185,0.0003,0.0005,-0.0002,0.0006,-53.46
1788360333205,-0.0002,0.0009,-0.0002,0.0010,-43.99
1788360333222,-0.0002,-0.0000,0.0007,0.0008,-43.99
1788360333242,0.0008,-0.0005,0.0007,0.0012,-43.99
1788360333261,-0.0002,-0.0010,0.0007,0.0012,-38.12
1788360333279,-0.0006,0.0005,-0.0008,0.0011,-38.12
1788360333298,0.0003,-0.0000,-0.0003,0.0004,-38.12
1788360333317,0.0003,0.0005,0.0002,0.0006,-38.50
1788360333335,0.0012,-0.0000,-0.0003,0.0013,-38.50
1788360333355,0.0003,-0.0000,-0.0007,0.0008,-38.50
1788360333374,0.0003,-0.0005,0.0002,0.0006,-40.40
1788360333392,0.0003,0.0005,-0.0007,0.0009,-40.40
1788360333411,0.0007,-0.0000,-0.0002,0.0008,-40.40
1788360333430,0.0007,-0.0010,-0.0002,0.0012,-40.40
1788360333449,0.0012,-0.0005,-0.0002,0.0013,-42.80
1788360333467,0.0006,0.0000,0.0003,0.0007,-42.80
1788360333485,-0.0013,-0.0005,0.0003,0.0014,-42.80
1788360333505,0.0002,0.0005,0.0003,0.0006,-42.80
1788360333524,0.0007,0.0000,0.0007,0.0010,-45.64
1788360333544,-0.0003,0.0005,0.0002,0.0006,-45.64
1788360333562,0.0011,0.0005,-0.0007,0.0014,-45.64
1788360333581,-0.0008,-0.0000,0.0007,0.0011,-48.86
1788360333599,0.0002,0.0005,-0.0007,0.0009,-48.86
1788360333618,0.0006,0.0009,0.0002,0.0011,-48.86
1788360333637,0.0006,0.0004,-0.0012,0.0014,-50.94
1788360333655,-0.0003,-0.0001,-0.0016,0.0016,-50.94
1788360333674,-0.0003,-0.0005,0.0003,0.0007,-50.94
1788360333693,0.0002,-0.0000,-0.0006,0.0006,-53.29
1788360333712,0.0006,-0.0010,-0.0001,0.0012,-53.29
1788360333732,-0.0008,-0.0000,-0.0011,0.0013,-53.29
1788360333749,-0.0008,-0.0000,-0.0001,0.0008,-53.29
1788360333768,0.0006,-0.0000,0.0013,0.0015,-54.84
1788360333787,0.0001,0.0005,0.0003,0.0006,-54.84
1788360333805,0.0006,-0.0005,-0.0006,0.0010,-54.84
1788360333824,0.0001,0.0005,-0.0006,0.0008,-54.84
1788360333843,-0.0022,-0.0005,-0.0001,0.0023,-54.25
1788360333862,0.0011,0.0014,0.0004,0.0019,-54.25
1788360333881,0.0006,-0.0001,0.0004,0.0007,-54.25
1788360333900,0.0006,0.0004,-0.0006,0.0009,-53.46
1788360333919,0.0011,-0.0005,-0.0001,0.0012,-53.46
