t,ax,ay,az,mag,db
1788360372695,0.0000,0.0000,0.0000,0.0000,-38.19
1788360372714,0.0010,0.0002,0.0002,0.0010,-38.19
1788360372733,0.0007,0.0002,-0.0005,0.0008,-38.19
1788360372751,-0.0006,-0.0010,-0.0007,0.0014,-38.19
1788360372771,-0.0001,-0.0004,0.0002,0.0004,-38.19
1788360372789,-0.0001,-0.0003,0.0002,0.0004,-160.00
1788360372808,-0.0005,0.0006,0.0001,0.0008,-160.00
1788360372826,0.0000,0.0009,0.0005,0.0011,-160.00
1788360372845,0.0009,0.0008,0.0001,0.0012,-160.00
1788360372864,-0.0005,0.0007,0.0005,0.0010,-57.28
1788360372883,0.0008,0.0011,0.0000,0.0014,-57.28
1788360372902,-0.0001,0.0005,0.0004,0.0007,-57.28
1788360372921,-0.0001,0.0005,0.0004,0.0007,-47.61
1788360372939,-0.0001,-0.0009,0.0008,0.0012,-47.61
1788360372958,-0.0001,-0.0004,0.0003,0.0005,-47.61
1788360372977,-0.0010,-0.0004,-0.0002,0.0011,-50.01
1788360372996,0.0004,-0.0004,-0.0001,0.0006,-50.01
1788360373015,-0.0005,0.0006,0.0003,0.0009,-50.01
1788360373034,0.0009,-0.0003,-0.0002,0.0010,-54.56
1788360373052,-0.0015,0.0001,0.0003,0.0015,-54.56
1788360373072,-0.0009,-0.0003,0.0008,0.0012,-54.56
1788360373090,0.0005,0.0002,0.0007,0.0009,-54.56
1788360373109,0.0010,-0.0003,-0.0002,0.0010,-42.63
1788360373127,0.0005,0.0002,-0.0002,0.0005,-42.63
1788360373146,-0.0005,-0.0008,0.0003,0.0010,-42.63
1788360373166,-0.0009,0.0002,-0.0002,0.0010,-42.63
1788360373184,0.0005,-0.0003,-0.0002,0.0006,-38.21
1788360373204,-0.0000,-0.0007,-0.0002,0.0008,-38.21
1788360373222,-0.0010,0.0002,0.0003,0.0010,-38.21
1788360373240,0.0000,0.0002,0.0017,0.0017,-38.85
1788360373260,0.0005,0.0002,-0.0007,0.0009,-38.85
1788360373278,-0.0000,0.0002,-0.0007,0.0007,-38.85
1788360373297,-0.0005,0.0011,-0.0016,0.0020,-40.49
1788360373315,0.0000,-0.0003,-0.0002,0.0003,-40.49
1788360373334,0.0005,0.0002,0.0008,0.0009,-40.49
1788360373353,-0.0005,0.0011,0.0003,0.0013,-42.74
1788360373372,-0.0000,0.0011,-0.0002,0.0011,-42.74
1788360373394,-0.0005,-0.0008,0.0003,0.0010,-42.74
1788360373410,0.0005,-0.0008,0.0007,0.0012,-42.74
1788360373429,-0.0000,0.0002,0.0002,0.0003,-45.87
1788360373447,-0.0005,0.0016,0.0002,0.0017,-45.87
1788360373466,0.0005,-0.0003,-0.0002,0.0006,-45.87
1788360373485,0.0004,-0.0003,-0.0007,0.0009,-48.47
1788360373504,-0.0005,0.0002,-0.0002,0.0006,-48.47
1788360373522,0.0009,0.0011,-0.0007,0.0016,-48.47
1788360373541,-0.0005,-0.0008,0.0008,0.0012,-48.47
1788360373560,0.0004,-0.0008,0.0003,0.0009,-46.97
1788360373579,0.0004,-0.0003,0.0007,0.0009,-46.97
1788360373598,-0.0001,0.0002,-0.0002,0.0003,-46.97
1788360373616,0.0008,-0.0003,0.0002,0.0009,-34.20
1788360373635,-0.0006,0.0002,-0.0012,0.0013,-34.20
1788360373654,0.0004,0.0011,-0.0011,0.0016,-34.20
1788360373673,-0.0001,0.0002,0.0003,0.0004,-31.57
1788360373692,-0.0006,0.0016,0.0008,0.0018,-31.57
1788360373711,0.0004,-0.0004,0.0007,0.0009,-31.57
1788360373729,0.0004,0.0015,-0.0002,0.0016,-31.57
1788360373750,-0.0001,-0.0004,-0.0007,0.0008,-35.44
1788360373767,-0.0001,0.0001,0.0003,0.0003,-35.44
1788360373786,-0.0006,-0.0004,0.0003,0.0007,-35.44
1788360373804,0.0004,-0.0004,0.0003,0.0006,-35.44
1788360373823,-0.0001,-0.0004,-0.0012,0.0012,-36.55
1788360373842,-0.0001,0.0001,-0.0007,0.0007,-36.55
1788360373862,-0.0001,-0.0003,-0.0002,0.0004,-36.55
1788360373880,-0.0001,0.0001,-0.0002,0.0002,-38.56
1788360373899,-0.0005,-0.0003,0.0003,0.0007,-38.56
