t,ax,ay,az,mag,db
1788360363069,0.0000,0.0000,0.0000,0.0000,-54.35
1788360363086,-0.0003,0.0002,0.0002,0.0004,-54.35
1788360363104,0.0001,0.0002,-0.0002,0.0003,-54.35
1788360363123,-0.0010,-0.0006,-0.0005,0.0013,-54.35
1788360363142,0.0004,0.0011,-0.0000,0.0011,-54.35
1788360363161,-0.0005,-0.0007,-0.0004,0.0010,-54.35
1788360363180,-0.0009,0.0002,-0.0008,0.0012,-160.00
1788360363198,-0.0003,-0.0002,-0.0007,0.0008,-160.00
1788360363217,-0.0007,0.0007,-0.0002,0.0010,-160.00
1788360363236,0.0002,0.0006,0.0007,0.0010,-26.72
1788360363255,0.0002,0.0006,-0.0007,0.0009,-26.72
1788360363273,-0.0002,0.0010,-0.0002,0.0010,-26.72
1788360363293,0.0007,-0.0000,-0.0002,0.0007,-26.72
1788360363311,-0.0003,-0.0000,-0.0001,0.0003,-20.27
1788360363330,-0.0016,-0.0000,-0.0001,0.0016,-20.27
1788360363349,-0.0002,-0.0005,-0.0001,0.0005,-20.27
1788360363368,0.0003,-0.0004,-0.0006,0.0008,-24.78
1788360363386,-0.0011,-0.0009,-0.0010,0.0017,-24.78
1788360363405,0.0013,0.0006,-0.0023,0.0027,-24.78
1788360363424,-0.0002,0.0001,0.0020,0.0020,-34.37
1788360363443,0.0012,0.0001,0.0009,0.0015,-34.37
1788360363461,-0.0007,0.0001,-0.0000,0.0007,-34.37
1788360363481,0.0008,0.0001,-0.0000,0.0008,-34.37
1788360363499,-0.0002,0.0001,-0.0000,0.0002,-42.80
1788360363518,0.0003,0.0010,0.0004,0.0011,-42.80
1788360363537,0.0002,-0.0004,0.0009,0.0010,-42.80
1788360363556,0.0002,0.0001,-0.0001,0.0003,-37.70
1788360363574,0.0012,0.0005,-0.0001,0.0013,-37.70
1788360363593,0.0006,-0.0009,-0.0015,0.0019,-37.70
1788360363611,0.0006,0.0001,0.0004,0.0008,-37.70
1788360363631,-0.0004,-0.0004,-0.0005,0.0007,-38.44
1788360363650,0.0011,0.0006,-0.0005,0.0013,-38.44
1788360363669,0.0015,0.0015,-0.0000,0.0021,-38.44
1788360363687,0.0005,0.0019,-0.0000,0.0020,-40.39
1788360363706,0.0010,-0.0000,0.0005,0.0011,-40.39
1788360363725,0.0005,-0.0005,0.0009,0.0011,-40.39
