t,ax,ay,az,mag,db
1788359591181,0.0000,0.0000,0.0000,0.0000,-36.11
1788359591193,0.0000,0.0000,-0.0007,0.0007,-36.11
1788359591212,0.0003,0.0007,-0.0008,0.0011,-36.11
1788359591231,0.0002,0.0009,-0.0002,0.0009,-36.11
1788359591250,-0.0006,-0.0009,0.0002,0.0011,-36.11
1788359591269,0.0007,0.0001,-0.0002,0.0008,-36.11
1788359591287,-0.0002,0.0000,-0.0006,0.0007,-160.00
1788359591306,-0.0002,-0.0008,0.0003,0.0009,-160.00
1788359591326,0.0007,-0.0003,0.0003,0.0008,-160.00
1788359591343,-0.0011,0.0002,0.0011,0.0016,-160.00
1788359591363,-0.0002,0.0006,0.0001,0.0006,-58.96
1788359591381,0.0003,0.0006,-0.0008,0.0010,-58.96
1788359591400,0.0003,0.0005,-0.0003,0.0006,-58.96
1788359591419,-0.0002,-0.0013,0.0002,0.0014,-57.97
1788359591438,0.0003,0.0001,-0.0007,0.0008,-57.97
1788359591457,-0.0002,-0.0004,-0.0002,0.0004,-57.97
1788359591476,-0.0002,0.0001,0.0003,0.0003,-58.25
1788359591494,0.0003,-0.0008,0.0002,0.0009,-58.25
1788359591513,-0.0011,-0.0012,-0.0002,0.0017,-58.25
1788359591532,-0.0001,-0.0007,0.0002,0.0007,-51.40
1788359591550,-0.0001,0.0007,-0.0002,0.0008,-51.40
1788359591570,0.0008,0.0012,-0.0007,0.0016,-51.40
1788359591588,0.0003,0.0002,0.0003,0.0005,-51.40
1788359591607,0.0003,0.0002,-0.0016,0.0016,-41.13
1788359591626,-0.0001,-0.0008,0.0003,0.0009,-41.13
1788359591645,-0.0001,-0.0003,0.0008,0.0009,-41.13
1788359591664,0.0008,0.0002,-0.0007,0.0010,-41.13
1788359591682,0.0008,0.0011,-0.0020,0.0025,-37.21
1788359591701,-0.0016,-0.0008,0.0065,0.0068,-37.21
1788359591720,-0.0001,0.0002,0.0006,0.0007,-37.21
1788359591739,0.0008,-0.0013,-0.0022,0.0027,-19.85
1788359591757,0.0008,0.0007,-0.0050,0.0051,-19.85
1788359591777,-0.0002,0.0002,-0.0020,0.0020,-19.85
1788359591795,0.0003,0.0006,-0.0014,0.0016,-25.00
1788359591814,-0.0002,0.0001,-0.0004,0.0005,-25.00
1788359591833,0.0003,0.0001,0.0005,0.0006,-25.00
1788359591853,0.0002,0.0001,-0.0005,0.0005,-28.30
1788359591870,-0.0002,0.0001,0.0000,0.0003,-28.30
1788359591890,-0.0007,0.0011,-0.0009,0.0016,-28.30
1788359591908,0.0007,0.0001,0.0001,0.0007,-28.30
1788359591927,0.0007,0.0001,-0.0009,0.0011,-23.22
1788359591946,0.0012,-0.0004,0.0001,0.0012,-23.22
1788359591965,0.0002,-0.0008,0.0006,0.0010,-23.22
1788359591983,0.0002,-0.0003,0.0005,0.0007,-23.22
1788359592003,0.0002,0.0002,0.0005,0.0006,-26.50
1788359592021,-0.0008,-0.0008,0.0014,0.0018,-26.50
1788359592040,0.0007,-0.0003,-0.0010,0.0012,-26.50
1788359592059,0.0002,0.0002,0.0000,0.0003,-30.16
1788359592078,-0.0003,-0.0003,-0.0019,0.0019,-30.16
1788359592096,-0.0003,-0.0012,0.0034,0.0036,-30.16
